time,stationID,in,out,线路,日期,最高气温℃,最低气温℃,天气,风向,风力
2019-01-01 07:00:00,0,623,159,1,,,,,,
2019-01-01 08:00:00,0,818,271,1,,,,,,
2019-01-01 09:00:00,0,1035,425,1,,,,,,
2019-01-01 10:00:00,0,1152,562,1,,,,,,
2019-01-01 11:00:00,0,1037,544,1,,,,,,
2019-01-01 12:00:00,0,1166,704,1,,,,,,
2019-01-01 13:00:00,0,1072,806,1,,,,,,
2019-01-01 14:00:00,0,1198,958,1,,,,,,
2019-01-01 15:00:00,0,1050,1032,1,,,,,,
2019-01-01 16:00:00,0,939,1092,1,,,,,,
2019-01-01 17:00:00,0,781,941,1,,,,,,
2019-01-01 18:00:00,0,589,664,1,,,,,,
2019-01-01 19:00:00,0,379,544,1,,,,,,
2019-01-02 07:00:00,0,1845,258,1,,,,,,
2019-01-02 08:00:00,0,2616,716,1,,,,,,
2019-01-02 09:00:00,0,1100,432,1,,,,,,
2019-01-02 10:00:00,0,588,469,1,,,,,,
2019-01-02 11:00:00,0,491,439,1,,,,,,
2019-01-02 12:00:00,0,544,502,1,,,,,,
2019-01-02 13:00:00,0,492,459,1,,,,,,
2019-01-02 14:00:00,0,411,510,1,,,,,,
2019-01-02 15:00:00,0,370,584,1,,,,,,
2019-01-02 16:00:00,0,431,659,1,,,,,,
2019-01-02 17:00:00,0,765,1127,1,,,,,,
2019-01-02 18:00:00,0,318,1528,1,,,,,,
2019-01-02 19:00:00,0,201,738,1,,,,,,
2019-01-03 07:00:00,0,1850,211,1,,,,,,
2019-01-03 08:00:00,0,2351,791,1,,,,,,
2019-01-03 09:00:00,0,1145,456,1,,,,,,
2019-01-03 10:00:00,0,536,473,1,,,,,,
2019-01-03 11:00:00,0,486,445,1,,,,,,
2019-01-03 12:00:00,0,597,536,1,,,,,,
2019-01-03 13:00:00,0,464,553,1,,,,,,
2019-01-03 14:00:00,0,382,491,1,,,,,,
2019-01-03 15:00:00,0,413,620,1,,,,,,
2019-01-03 16:00:00,0,523,672,1,,,,,,
2019-01-03 17:00:00,0,772,1181,1,,,,,,
2019-01-03 18:00:00,0,313,1527,1,,,,,,
2019-01-03 19:00:00,0,205,742,1,,,,,,
2019-01-04 07:00:00,0,1782,196,1,,,,,,
2019-01-04 08:00:00,0,2358,798,1,,,,,,
2019-01-04 09:00:00,0,978,455,1,,,,,,
2019-01-04 10:00:00,0,490,409,1,,,,,,
2019-01-04 11:00:00,0,459,425,1,,,,,,
2019-01-04 12:00:00,0,456,478,1,,,,,,
2019-01-04 13:00:00,0,404,465,1,,,,,,
2019-01-04 14:00:00,0,404,477,1,,,,,,
2019-01-04 15:00:00,0,404,625,1,,,,,,
2019-01-04 16:00:00,0,715,676,1,,,,,,
2019-01-04 17:00:00,0,663,1177,1,,,,,,
2019-01-04 18:00:00,0,331,1506,1,,,,,,
2019-01-04 19:00:00,0,201,821,1,,,,,,
2019-01-07 07:00:00,0,1884,278,1,,,,,,
2019-01-07 08:00:00,0,2517,865,1,,,,,,
2019-01-07 09:00:00,0,1195,413,1,,,,,,
2019-01-07 10:00:00,0,455,430,1,,,,,,
2019-01-07 11:00:00,0,400,448,1,,,,,,
2019-01-07 12:00:00,0,487,523,1,,,,,,
2019-01-07 13:00:00,0,428,440,1,,,,,,
2019-01-07 14:00:00,0,373,439,1,,,,,,
2019-01-07 15:00:00,0,305,483,1,,,,,,
2019-01-07 16:00:00,0,492,599,1,,,,,,
2019-01-07 17:00:00,0,754,1165,1,,,,,,
2019-01-07 18:00:00,0,330,1498,1,,,,,,
2019-01-07 19:00:00,0,195,726,1,,,,,,
2019-01-08 07:00:00,0,1776,198,1,,,,,,
2019-01-08 08:00:00,0,2497,862,1,,,,,,
2019-01-08 09:00:00,0,907,468,1,,,,,,
2019-01-08 10:00:00,0,568,468,1,,,,,,
2019-01-08 11:00:00,0,450,409,1,,,,,,
2019-01-08 12:00:00,0,513,557,1,,,,,,
2019-01-08 13:00:00,0,435,498,1,,,,,,
2019-01-08 14:00:00,0,397,565,1,,,,,,
2019-01-08 15:00:00,0,386,493,1,,,,,,
2019-01-08 16:00:00,0,484,638,1,,,,,,
2019-01-08 17:00:00,0,785,1279,1,,,,,,
2019-01-08 18:00:00,0,312,1373,1,,,,,,
2019-01-08 19:00:00,0,244,717,1,,,,,,
2019-01-09 07:00:00,0,1847,205,1,,,,,,
2019-01-09 08:00:00,0,2396,789,1,,,,,,
