station_name,time,total_traffic,最高气温℃,最低气温℃,work,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
人民广场站,2019-01-01,24710,6,1,0,False,False,True,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0
人民广场站,2019-01-02,23402,5,3,1,False,False,True,False,False,False,False,False,True,False,True,24710,0,0,0,0,0,0
人民广场站,2019-01-03,23200,9,4,1,False,False,True,False,False,False,False,True,False,False,True,23402,24710,0,0,0,0,0
人民广场站,2019-01-04,25128,8,5,1,True,False,False,False,False,False,False,True,False,False,True,23200,23402,24710,0,0,0,0
人民广场站,2019-01-05,24960,6,3,0,True,False,False,False,False,False,False,True,False,False,True,25128,23200,23402,24710,0,0,0
人民广场站,2019-01-06,23062,7,4,0,False,False,True,False,False,False,True,False,False,False,True,24960,25128,23200,23402,24710,0,0
人民广场站,2019-01-07,22148,8,5,1,False,False,True,False,False,False,False,True,False,False,True,23062,24960,25128,23200,23402,24710,0
人民广场站,2019-01-08,24349,6,4,1,False,False,False,False,True,True,False,False,False,False,True,22148,23062,24960,25128,23200,23402,24710
人民广场站,2019-01-09,24151,6,6,1,False,False,True,False,False,False,False,True,False,False,True,24349,22148,23062,24960,25128,23200,23402
人民广场站,2019-01-10,23090,8,6,1,False,False,True,False,False,False,False,True,False,False,True,24151,24349,22148,23062,24960,25128,23200
人民广场站,2019-01-11,25499,8,5,1,True,False,False,False,False,False,False,False,True,False,True,23090,24151,24349,22148,23062,24960,25128
人民广场站,2019-01-12,25722,8,2,0,False,False,False,False,True,False,False,True,False,False,True,25499,23090,24151,24349,22148,23062,24960
人民广场站,2019-01-13,23740,8,2,0,False,False,False,True,False,False,False,True,False,False,True,25722,25499,23090,24151,24349,22148,23062
人民广场站,2019-01-14,24136,8,4,1,False,False,True,False,False,False,True,False,False,False,True,23740,25722,25499,23090,24151,24349,22148
人民广场站,2019-01-15,23370,7,4,1,False,False,True,False,False,False,False,True,False,True,False,24136,23740,25722,25499,23090,24151,24349
人民广场站,2019-01-16,24157,7,1,1,False,True,False,False,False,False,False,True,False,False,True,23370,24136,23740,25722,25499,23090,24151
人民广场站,2019-01-17,25267,7,0,1,False,False,False,True,False,False,False,True,False,False,True,24157,23370,24136,23740,25722,25499,23090
人民广场站,2019-01-18,27833,11,2,1,False,False,False,True,False,False,False,True,False,False,True,25267,24157,23370,24136,23740,25722,25499
人民广场站,2019-01-19,25450,8,5,0,False,False,False,False,True,False,False,True,False,False,True,27833,25267,24157,23370,24136,23740,25722
人民广场站,2019-01-20,24086,9,2,0,False,True,False,False,False,False,False,True,False,False,True,25450,27833,25267,24157,23370,24136,23740
人民广场站,2019-01-21,25496,7,0,1,False,True,False,False,False,False,False,True,False,False,True,24086,25450,27833,25267,24157,23370,24136
人民广场站,2019-01-22,25480,11,1,1,False,False,False,True,False,False,False,True,False,False,True,25496,24086,25450,27833,25267,24157,23370
人民广场站,2019-01-23,26380,12,1,1,False,False,False,True,False,False,False,True,False,False,True,25480,25496,24086,25450,27833,25267,24157
人民广场站,2019-01-24,28429,11,1,1,False,False,False,True,False,False,False,True,False,False,True,26380,25480,25496,24086,25450,27833,25267
人民广场站,2019-01-25,28440,9,2,1,False,True,False,False,False,False,False,True,False,False,True,28429,26380,25480,25496,24086,25450,27833
