station_name,time,total_traffic,最高气温℃,最低气温℃,work,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
打铁关站,2019-01-01,38674,6,1,0,False,False,True,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0
打铁关站,2019-01-02,44307,5,3,1,False,False,True,False,False,False,False,False,True,False,True,38674,0,0,0,0,0,0
打铁关站,2019-01-03,43255,9,4,1,False,False,True,False,False,False,False,True,False,False,True,44307,38674,0,0,0,0,0
打铁关站,2019-01-04,45253,8,5,1,True,False,False,False,False,False,False,True,False,False,True,43255,44307,38674,0,0,0,0
打铁关站,2019-01-05,35069,6,3,0,True,False,False,False,False,False,False,True,False,False,True,45253,43255,44307,38674,0,0,0
打铁关站,2019-01-06,32993,7,4,0,False,False,True,False,False,False,True,False,False,False,True,35069,45253,43255,44307,38674,0,0
打铁关站,2019-01-07,42600,8,5,1,False,False,True,False,False,False,False,True,False,False,True,32993,35069,45253,43255,44307,38674,0
打铁关站,2019-01-08,44017,6,4,1,False,False,False,False,True,True,False,False,False,False,True,42600,32993,35069,45253,43255,44307,38674
打铁关站,2019-01-09,42825,6,6,1,False,False,True,False,False,False,False,True,False,False,True,44017,42600,32993,35069,45253,43255,44307
打铁关站,2019-01-10,42686,8,6,1,False,False,True,False,False,False,False,True,False,False,True,42825,44017,42600,32993,35069,45253,43255
打铁关站,2019-01-11,46108,8,5,1,True,False,False,False,False,False,False,False,True,False,True,42686,42825,44017,42600,32993,35069,45253
打铁关站,2019-01-12,36308,8,2,0,False,False,False,False,True,False,False,True,False,False,True,46108,42686,42825,44017,42600,32993,35069
打铁关站,2019-01-13,34614,8,2,0,False,False,False,True,False,False,False,True,False,False,True,36308,46108,42686,42825,44017,42600,32993
打铁关站,2019-01-14,45701,8,4,1,False,False,True,False,False,False,True,False,False,False,True,34614,36308,46108,42686,42825,44017,42600
打铁关站,2019-01-15,41903,7,4,1,False,False,True,False,False,False,False,True,False,True,False,45701,34614,36308,46108,42686,42825,44017
打铁关站,2019-01-16,45026,7,1,1,False,True,False,False,False,False,False,True,False,False,True,41903,45701,34614,36308,46108,42686,42825
打铁关站,2019-01-17,45670,7,0,1,False,False,False,True,False,False,False,True,False,False,True,45026,41903,45701,34614,36308,46108,42686
打铁关站,2019-01-18,50253,11,2,1,False,False,False,True,False,False,False,True,False,False,True,45670,45026,41903,45701,34614,36308,46108
打铁关站,2019-01-19,38212,8,5,0,False,False,False,False,True,False,False,True,False,False,True,50253,45670,45026,41903,45701,34614,36308
打铁关站,2019-01-20,35584,9,2,0,False,True,False,False,False,False,False,True,False,False,True,38212,50253,45670,45026,41903,45701,34614
打铁关站,2019-01-21,46691,7,0,1,False,True,False,False,False,False,False,True,False,False,True,35584,38212,50253,45670,45026,41903,45701
打铁关站,2019-01-22,46327,11,1,1,False,False,False,True,False,False,False,True,False,False,True,46691,35584,38212,50253,45670,45026,41903
打铁关站,2019-01-23,45757,12,1,1,False,False,False,True,False,False,False,True,False,False,True,46327,46691,35584,38212,50253,45670,45026
打铁关站,2019-01-24,46048,11,1,1,False,False,False,True,False,False,False,True,False,False,True,45757,46327,46691,35584,38212,50253,45670
打铁关站,2019-01-25,47571,9,2,1,False,True,False,False,False,False,False,True,False,False,True,46048,45757,46327,46691,35584,38212,50253
