station_name,time,total_traffic,最高气温℃,最低气温℃,work,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
武林广场站,2019-01-01,75760,6,1,0,False,False,True,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0
武林广场站,2019-01-02,52344,5,3,1,False,False,True,False,False,False,False,False,True,False,True,75760,0,0,0,0,0,0
武林广场站,2019-01-03,48158,9,4,1,False,False,True,False,False,False,False,True,False,False,True,52344,75760,0,0,0,0,0
武林广场站,2019-01-04,54283,8,5,1,True,False,False,False,False,False,False,True,False,False,True,48158,52344,75760,0,0,0,0
武林广场站,2019-01-05,51301,6,3,0,True,False,False,False,False,False,False,True,False,False,True,54283,48158,52344,75760,0,0,0
武林广场站,2019-01-06,51833,7,4,0,False,False,True,False,False,False,True,False,False,False,True,51301,54283,48158,52344,75760,0,0
武林广场站,2019-01-07,47918,8,5,1,False,False,True,False,False,False,False,True,False,False,True,51833,51301,54283,48158,52344,75760,0
武林广场站,2019-01-08,49285,6,4,1,False,False,False,False,True,True,False,False,False,False,True,47918,51833,51301,54283,48158,52344,75760
武林广场站,2019-01-09,49273,6,6,1,False,False,True,False,False,False,False,True,False,False,True,49285,47918,51833,51301,54283,48158,52344
武林广场站,2019-01-10,50748,8,6,1,False,False,True,False,False,False,False,True,False,False,True,49273,49285,47918,51833,51301,54283,48158
武林广场站,2019-01-11,57568,8,5,1,True,False,False,False,False,False,False,False,True,False,True,50748,49273,49285,47918,51833,51301,54283
武林广场站,2019-01-12,55956,8,2,0,False,False,False,False,True,False,False,True,False,False,True,57568,50748,49273,49285,47918,51833,51301
武林广场站,2019-01-13,52976,8,2,0,False,False,False,True,False,False,False,True,False,False,True,55956,57568,50748,49273,49285,47918,51833
武林广场站,2019-01-14,52202,8,4,1,False,False,True,False,False,False,True,False,False,False,True,52976,55956,57568,50748,49273,49285,47918
武林广场站,2019-01-15,49286,7,4,1,False,False,True,False,False,False,False,True,False,True,False,52202,52976,55956,57568,50748,49273,49285
武林广场站,2019-01-16,51821,7,1,1,False,True,False,False,False,False,False,True,False,False,True,49286,52202,52976,55956,57568,50748,49273
武林广场站,2019-01-17,54849,7,0,1,False,False,False,True,False,False,False,True,False,False,True,51821,49286,52202,52976,55956,57568,50748
武林广场站,2019-01-18,62007,11,2,1,False,False,False,True,False,False,False,True,False,False,True,54849,51821,49286,52202,52976,55956,57568
武林广场站,2019-01-19,59437,8,5,0,False,False,False,False,True,False,False,True,False,False,True,62007,54849,51821,49286,52202,52976,55956
武林广场站,2019-01-20,56178,9,2,0,False,True,False,False,False,False,False,True,False,False,True,59437,62007,54849,51821,49286,52202,52976
武林广场站,2019-01-21,52894,7,0,1,False,True,False,False,False,False,False,True,False,False,True,56178,59437,62007,54849,51821,49286,52202
武林广场站,2019-01-22,53399,11,1,1,False,False,False,True,False,False,False,True,False,False,True,52894,56178,59437,62007,54849,51821,49286
武林广场站,2019-01-23,54780,12,1,1,False,False,False,True,False,False,False,True,False,False,True,53399,52894,56178,59437,62007,54849,51821
武林广场站,2019-01-24,55024,11,1,1,False,False,False,True,False,False,False,True,False,False,True,54780,53399,52894,56178,59437,62007,54849
武林广场站,2019-01-25,58256,9,2,1,False,True,False,False,False,False,False,True,False,False,True,55024,54780,53399,52894,56178,59437,62007
