station_name,time,total_traffic,最高气温℃,最低气温℃,work,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
滨康路站,2019-01-01,12477,6,1,0,False,False,True,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0
滨康路站,2019-01-02,13590,5,3,1,False,False,True,False,False,False,False,False,True,False,True,12477,0,0,0,0,0,0
滨康路站,2019-01-03,13431,9,4,1,False,False,True,False,False,False,False,True,False,False,True,13590,12477,0,0,0,0,0
滨康路站,2019-01-04,13379,8,5,1,True,False,False,False,False,False,False,True,False,False,True,13431,13590,12477,0,0,0,0
滨康路站,2019-01-05,10736,6,3,0,True,False,False,False,False,False,False,True,False,False,True,13379,13431,13590,12477,0,0,0
滨康路站,2019-01-06,10309,7,4,0,False,False,True,False,False,False,True,False,False,False,True,10736,13379,13431,13590,12477,0,0
滨康路站,2019-01-07,13293,8,5,1,False,False,True,False,False,False,False,True,False,False,True,10309,10736,13379,13431,13590,12477,0
滨康路站,2019-01-08,13099,6,4,1,False,False,False,False,True,True,False,False,False,False,True,13293,10309,10736,13379,13431,13590,12477
滨康路站,2019-01-09,12874,6,6,1,False,False,True,False,False,False,False,True,False,False,True,13099,13293,10309,10736,13379,13431,13590
滨康路站,2019-01-10,13156,8,6,1,False,False,True,False,False,False,False,True,False,False,True,12874,13099,13293,10309,10736,13379,13431
滨康路站,2019-01-11,13389,8,5,1,True,False,False,False,False,False,False,False,True,False,True,13156,12874,13099,13293,10309,10736,13379
滨康路站,2019-01-12,11439,8,2,0,False,False,False,False,True,False,False,True,False,False,True,13389,13156,12874,13099,13293,10309,10736
滨康路站,2019-01-13,11328,8,2,0,False,False,False,True,False,False,False,True,False,False,True,11439,13389,13156,12874,13099,13293,10309
滨康路站,2019-01-14,13748,8,4,1,False,False,True,False,False,False,True,False,False,False,True,11328,11439,13389,13156,12874,13099,13293
滨康路站,2019-01-15,13064,7,4,1,False,False,True,False,False,False,False,True,False,True,False,13748,11328,11439,13389,13156,12874,13099
滨康路站,2019-01-16,13683,7,1,1,False,True,False,False,False,False,False,True,False,False,True,13064,13748,11328,11439,13389,13156,12874
滨康路站,2019-01-17,13733,7,0,1,False,False,False,True,False,False,False,True,False,False,True,13683,13064,13748,11328,11439,13389,13156
滨康路站,2019-01-18,14515,11,2,1,False,False,False,True,False,False,False,True,False,False,True,13733,13683,13064,13748,11328,11439,13389
滨康路站,2019-01-19,11859,8,5,0,False,False,False,False,True,False,False,True,False,False,True,14515,13733,13683,13064,13748,11328,11439
滨康路站,2019-01-20,11331,9,2,0,False,True,False,False,False,False,False,True,False,False,True,11859,14515,13733,13683,13064,13748,11328
滨康路站,2019-01-21,13967,7,0,1,False,True,False,False,False,False,False,True,False,False,True,11331,11859,14515,13733,13683,13064,13748
滨康路站,2019-01-22,13819,11,1,1,False,False,False,True,False,False,False,True,False,False,True,13967,11331,11859,14515,13733,13683,13064
滨康路站,2019-01-23,14010,12,1,1,False,False,False,True,False,False,False,True,False,False,True,13819,13967,11331,11859,14515,13733,13683
滨康路站,2019-01-24,13718,11,1,1,False,False,False,True,False,False,False,True,False,False,True,14010,13819,13967,11331,11859,14515,13733
滨康路站,2019-01-25,14146,9,2,1,False,True,False,False,False,False,False,True,False,False,True,13718,14010,13819,13967,11331,11859,14515
