station_name,time,total_traffic,最高气温℃,最低气温℃,work,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
白洋站,2019-01-01,9176,6,1,0,False,False,True,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0
白洋站,2019-01-02,10857,5,3,1,False,False,True,False,False,False,False,False,True,False,True,9176,0,0,0,0,0,0
白洋站,2019-01-03,10804,9,4,1,False,False,True,False,False,False,False,True,False,False,True,10857,9176,0,0,0,0,0
白洋站,2019-01-04,10882,8,5,1,True,False,False,False,False,False,False,True,False,False,True,10804,10857,9176,0,0,0,0
白洋站,2019-01-05,9025,6,3,0,True,False,False,False,False,False,False,True,False,False,True,10882,10804,10857,9176,0,0,0
白洋站,2019-01-06,8722,7,4,0,False,False,True,False,False,False,True,False,False,False,True,9025,10882,10804,10857,9176,0,0
白洋站,2019-01-07,10363,8,5,1,False,False,True,False,False,False,False,True,False,False,True,8722,9025,10882,10804,10857,9176,0
白洋站,2019-01-08,10783,6,4,1,False,False,False,False,True,True,False,False,False,False,True,10363,8722,9025,10882,10804,10857,9176
白洋站,2019-01-09,10653,6,6,1,False,False,True,False,False,False,False,True,False,False,True,10783,10363,8722,9025,10882,10804,10857
白洋站,2019-01-10,10476,8,6,1,False,False,True,False,False,False,False,True,False,False,True,10653,10783,10363,8722,9025,10882,10804
白洋站,2019-01-11,11978,8,5,1,True,False,False,False,False,False,False,False,True,False,True,10476,10653,10783,10363,8722,9025,10882
白洋站,2019-01-12,9713,8,2,0,False,False,False,False,True,False,False,True,False,False,True,11978,10476,10653,10783,10363,8722,9025
白洋站,2019-01-13,9437,8,2,0,False,False,False,True,False,False,False,True,False,False,True,9713,11978,10476,10653,10783,10363,8722
白洋站,2019-01-14,11285,8,4,1,False,False,True,False,False,False,True,False,False,False,True,9437,9713,11978,10476,10653,10783,10363
白洋站,2019-01-15,10813,7,4,1,False,False,True,False,False,False,False,True,False,True,False,11285,9437,9713,11978,10476,10653,10783
白洋站,2019-01-16,11158,7,1,1,False,True,False,False,False,False,False,True,False,False,True,10813,11285,9437,9713,11978,10476,10653
白洋站,2019-01-17,11261,7,0,1,False,False,False,True,False,False,False,True,False,False,True,11158,10813,11285,9437,9713,11978,10476
白洋站,2019-01-18,11540,11,2,1,False,False,False,True,False,False,False,True,False,False,True,11261,11158,10813,11285,9437,9713,11978
白洋站,2019-01-19,9462,8,5,0,False,False,False,False,True,False,False,True,False,False,True,11540,11261,11158,10813,11285,9437,9713
白洋站,2019-01-20,9428,9,2,0,False,True,False,False,False,False,False,True,False,False,True,9462,11540,11261,11158,10813,11285,9437
白洋站,2019-01-21,11593,7,0,1,False,True,False,False,False,False,False,True,False,False,True,9428,9462,11540,11261,11158,10813,11285
白洋站,2019-01-22,11261,11,1,1,False,False,False,True,False,False,False,True,False,False,True,11593,9428,9462,11540,11261,11158,10813
白洋站,2019-01-23,11774,12,1,1,False,False,False,True,False,False,False,True,False,False,True,11261,11593,9428,9462,11540,11261,11158
白洋站,2019-01-24,11352,11,1,1,False,False,False,True,False,False,False,True,False,False,True,11774,11261,11593,9428,9462,11540,11261
白洋站,2019-01-25,11269,9,2,1,False,True,False,False,False,False,False,True,False,False,True,11352,11774,11261,11593,9428,9462,11540
